Gene Name	fr	rf	star
ADGRL1	0	0	0
ADGRL1-AS1	11	11	0
ADGRL2	0	0	0
ADGRL3	1	1	3
ADGRL3-AS1	12	18	38
ADGRL4	13	13	37
ADGRV1	2	2	3
ADH1A	0	0	1
ADH1B	11	11	11
ADH1C	1	1	0
ADH4	0	0	2
ADH5	35	26	41
ADH5P2	3	1	0
ADH5P3	0	0	0
ADH5P4	1	8	0
ADH5P5	0	0	0
ADH6	5	5	101
ADH7	0	0	2
ADHFE1	5	5	6
ADI1	46	46	40
ADI1P1	0	0	0
ADI1P2	0	0	0
ADI1P3	0	0	0
ADIG	1	1	0
ADIPOQ	3	2	11
ADIPOQ-AS1	1	0	0
ADIPOR1	1280	1280	1319
ADIPOR1P1	0	0	0
ADIPOR1P2	0	0	0
ADIPOR2	0	0	25
ADIRF	3	3	0
ADIRF-AS1	1	2	0
ADK	34	34	44
ADM	22	22	30
ADM2	2	2	2
ADM5	0	0	0
ADNP	57	57	57
ADNP2	36	36	52
ADNP-AS1	5	6	6
ADO	3	3	3
ADORA1	0	0	0
ADORA2A	5	5	2
ADORA2A-AS1	5	5	40
ADORA2B	0	0	0
ADORA2BP1	0	0	0
ADORA3	0	0	0
ADPGK	9	9	9
ADPGK-AS1	0	0	0
ADPRH	0	0	1
ADPRHL1	0	0	0
ADPRM	21	21	30
ADPRS	24	24	24
ADRA1A	0	0	0
ADRA1B	0	0	0
ADRA1D	7	7	108
ADRA2A	0	0	0
ADRA2B	0	0	0
ADRA2C	0	0	0
ADRB1	0	0	34
ADRB2	0	0	0
ADRB3	0	0	0
ADRM1	56	56	56
ADSL	18	18	16
ADSS1	0	0	0
ADSS2	105	105	108
ADTRP	0	0	0
AEBP1	0	0	0
AEBP2	34	34	16
AEN	0	0	0
AFAP1	35	35	35
AFAP1-AS1	0	0	1
AFAP1L1	8	8	9
AFAP1L2	5	5	6
AFDN	63	63	66
AFDN-DT	11	11	12
AFF1	397	397	414
AFF1-AS1	5	5	12
AFF2	126	125	335
AFF3	0	0	5
AFF4	36	36	38
AFG1L	0	0	0
AFG3L1P	1	1	1
AFG3L2	18	18	20
AFG3L2P1	1	1	5
AFM	0	0	0
AFMID	0	0	0
AFP	0	0	0
AFTPH	315	316	527
AFTPH-DT	2	2	3
AGA	36	36	37
AGAP1	27	27	27
AGAP10P	9	14	3
AGAP11	4	4	0
AGAP12P	2	1	0
AGAP13P	6	9	0
AGAP14P	1	2	0
AGAP1-IT1	0	0	0
AGAP2	14	14	15
AGAP2-AS1	0	0	0
AGAP3	0	0	0
AGAP4	1	2	7
AGAP5	0	1	0
AGAP6	1	1	5
AGAP7P	26	26	9
AGAP9	1	1	0
AGBL1	0	0	0
AGBL1-AS1	0	0	2
AGBL2	2	2	0
AGBL3	2	2	2
AGBL4	2	2	0
AGBL4-AS1	2	1	1
AGBL4-IT1	1	1	6
AGBL5	2	2	2
AGBL5-AS1	0	0	0
AGER	0	0	0
AGFG1	73	73	80
AGFG2	6	6	6
AGGF1	68	68	99
AGGF1P1	1	1	0
AGGF1P10	1	1	1
AGGF1P2	0	0	0
AGGF1P3	0	0	1
AGGF1P4	0	0	0
AGGF1P5	0	0	0
AGGF1P6	0	0	0
AGGF1P7	0	0	0
AGGF1P8	0	0	0
AGGF1P9	0	0	0
AGK	0	0	0
AGKP1	0	0	0
AGKP2	0	0	0
AGL	81	81	64
AGMAT	14	14	19
AGMO	0	0	0
AGO1	75	75	75
AGO2	345	345	356
AGO3	19	19	19
AGO4	117	116	116
AGPAT1	16	15	34
AGPAT2	6	6	6
AGPAT3	74	74	99
AGPAT4	122	122	161
AGPAT4-IT1	0	0	0
AGPAT5	48	48	54
AGPAT5P1	0	0	0
AGPS	75	75	86
AGR2	0	0	0
AGR3	0	0	0
AGRN	2	2	2
AGRP	0	0	0
AGT	3	3	7
AGTPBP1	372	372	358
AGTR1	0	0	0
AGTR2	0	0	0
AGTRAP	13	13	16
AGXT	0	0	0
AGXT2	0	0	0
AHCTF1	163	147	191
AHCTF1P1	54	62	1
AHCY	48	48	47
AHCYL1	116	116	110
AHCYL2	24	24	24
AHCYP1	0	0	0
AHCYP2	0	0	0
AHCYP3	0	0	0
AHCYP4	0	0	0
AHCYP5	0	0	0
AHCYP6	5	5	9
AHCYP7	0	0	0
AHCYP8	0	0	0
AHDC1	11	11	12
AHI1	29	29	16
AHI1-DT	26	26	81
AHNAK	480	480	484
AHNAK2	8	8	8
AHR	42	42	46
AHRR	13	14	14
AHSA1	80	80	80
AHSA2P	120	120	1116
AHSG	0	0	0
AHSP	1049	1049	1049
AICDA	15	15	15
AIDA	723	865	469
AIDAP1	6	9	0
AIDAP2	3	0	0
AIDAP3	0	0	0
AIF1	0	0	515
AIF1L	19	19	20
AIFM1	10	10	10
AIFM1P1	0	0	0
AIFM2	3	3	4
AIFM3	0	0	0
AIG1	46	46	124
AIG1P1	0	0	0
AIM2	23	23	24
AIMP1	74	74	74
AIMP1P1	0	0	0
AIMP1P2	0	0	0
AIMP2	0	0	0
AIP	30	30	30
AIPL1	2	2	24
AIRE	0	0	0
AIRN	0	0	0
AJAP1	13	13	37
AJM1	3	3	4
AJUBA	0	0	0
AK1	1	1	1
AK2	73	68	80
AK2P1	8	8	0
AK2P2	0	0	0
AK3	31	31	26
AK3P2	0	0	0
AK3P3	0	0	0
AK3P4	0	0	0
AK3P5	0	0	0
AK3P6	1	1	3
AK4	1	1	0
AK4P1	0	0	0
AK4P2	0	0	0
AK4P3	1	1	0
AK4P4	0	0	0
AK4P5	0	0	0
AK4P6	0	0	0
AK5	6	6	10
AK6	17	19	29
AK7	9	9	11
AK8	0	0	0
AK9	7	7	7
AKAIN1	5	5	14
AKAP1	19	19	23
AKAP10	85	85	92
AKAP11	188	188	188
AKAP12	38	38	46
AKAP13	162	150	321
AKAP14	5	5	31
AKAP17A	0	0	0
AKAP17A_1	0	0	0
AKAP17BP	0	0	0
AKAP3	21	21	21
AKAP4	1	1	3
AKAP5	11	11	11
AKAP6	0	0	0
AKAP7	178	178	180
AKAP8	27	27	20
AKAP8L	36	36	40
AKAP8P1	0	0	0
