Gene type	Gene Name	fr	rf	star
protein_coding	TRPM8	0	0	0
protein_coding	TRPS1	330	329	1861
protein_coding	TRPT1	9	9	10
protein_coding	TRPV1	1	1	48
protein_coding	TRPV2	60	60	61
protein_coding	TRPV3	23	23	36
protein_coding	TRPV4	0	0	0
protein_coding	TRPV5	3	3	0
protein_coding	TRPV6	1	1	0
protein_coding	TRRAP	109	108	41
protein_coding	TRUB1	46	46	54
protein_coding	TRUB2	18	18	18
protein_coding	TSACC	38	38	56
protein_coding	TSBP1	0	0	0
protein_coding	TSC1	42	42	43
protein_coding	TSC2	70	70	71
protein_coding	TSC22D1	333	333	342
protein_coding	TSC22D2	553	555	931
protein_coding	TSC22D3	368	368	374
protein_coding	TSC22D4	3	4	3
protein_coding	TSC22D4-C7ORF61	5	6	4
protein_coding	TSEN15	23	23	23
protein_coding	TSEN2	22	22	22
protein_coding	TSEN34	0	0	30
protein_coding	TSEN54	4	4	2
protein_coding	TSFM	19	19	27
protein_coding	TSG101	194	194	203
protein_coding	TSGA10	13	13	12
protein_coding	TSGA10IP	0	0	0
protein_coding	TSGA13	1	1	2
protein_coding	TSHB	0	0	1
protein_coding	TSHR	0	0	0
protein_coding	TSHZ1	106	105	220
protein_coding	TSHZ2	35	35	191
protein_coding	TSHZ3	27	27	31
protein_coding	TSKS	6	7	24
protein_coding	TSKU	6	6	6
protein_coding	TSLP	0	0	0
protein_coding	TSN	177	177	245
protein_coding	TSNARE1	3	3	3
protein_coding	TSNAX	36	36	62
protein_coding	TSNAXIP1	8	8	8
protein_coding	TSPAN1	6	6	6
protein_coding	TSPAN10	2	2	2
protein_coding	TSPAN11	0	0	0
protein_coding	TSPAN12	12	12	12
protein_coding	TSPAN13	51	51	61
protein_coding	TSPAN14	109	102	106
protein_coding	TSPAN15	0	0	0
protein_coding	TSPAN16	2	2	0
protein_coding	TSPAN17	70	70	56
protein_coding	TSPAN18	39	39	38
protein_coding	TSPAN19	0	0	0
protein_coding	TSPAN2	68	68	68
protein_coding	TSPAN3	13	13	14
protein_coding	TSPAN31	6	6	8
protein_coding	TSPAN32	6	6	13
protein_coding	TSPAN33	152	152	152
protein_coding	TSPAN4	0	0	0
protein_coding	TSPAN5	661	661	674
protein_coding	TSPAN6	20	20	24
protein_coding	TSPAN7	96	96	94
protein_coding	TSPAN8	4	4	10
protein_coding	TSPAN9	40	40	43
protein_coding	TSPEAR	51	50	60
protein_coding	TSPO	204	204	205
protein_coding	TSPO2	56	56	56
protein_coding	TSPOAP1	4	4	4
protein_coding	TSPY1	0	0	0
protein_coding	TSPY10	0	0	0
protein_coding	TSPY2	0	0	0
protein_coding	TSPY3	0	0	0
protein_coding	TSPY4	0	0	0
protein_coding	TSPY8	0	0	0
protein_coding	TSPY9	0	0	0
protein_coding	TSPYL1	209	209	224
protein_coding	TSPYL2	73	73	74
protein_coding	TSPYL4	43	43	44
protein_coding	TSPYL5	6	6	6
protein_coding	TSPYL6	0	0	0
protein_coding	TSR1	100	100	107
protein_coding	TSR2	75	75	77
protein_coding	TSR3	65	65	66
protein_coding	TSSC4	11	11	11
protein_coding	TSSK1B	0	0	0
protein_coding	TSSK2	1	1	1
protein_coding	TSSK3	0	0	0
protein_coding	TSSK4	0	0	0
protein_coding	TSSK6	0	0	0
protein_coding	TST	0	0	3
protein_coding	TSTD1	55	55	56
protein_coding	TSTD2	21	21	23
protein_coding	TSTD3	0	0	0
protein_coding	TTBK1	0	0	0
protein_coding	TTBK2	170	170	172
protein_coding	TTC1	38	38	121
protein_coding	TTC12	32	32	25
protein_coding	TTC13	12	12	16
protein_coding	TTC14	68	68	75
protein_coding	TTC16	6	6	7
protein_coding	TTC17	13	13	17
protein_coding	TTC19	15	13	11
protein_coding	TTC21A	0	0	0
protein_coding	TTC21B	37	37	40
protein_coding	TTC22	14	14	16
protein_coding	TTC23	0	0	0
protein_coding	TTC23L	54	54	57
protein_coding	TTC24	0	0	0
protein_coding	TTC26	100	102	29
protein_coding	TTC27	46	46	46
protein_coding	TTC28	38	38	65
protein_coding	TTC29	0	0	0
protein_coding	TTC3	402	407	426
protein_coding	TTC30A	0	0	6
protein_coding	TTC30B	3	3	3
protein_coding	TTC31	30	30	29
protein_coding	TTC32	9	9	9
protein_coding	TTC33	68	68	70
protein_coding	TTC34	53	52	11
protein_coding	TTC36	0	0	0
protein_coding	TTC37	349	349	351
protein_coding	TTC38	75	75	77
protein_coding	TTC39A	0	0	0
protein_coding	TTC39B	24	24	20
protein_coding	TTC39C	261	261	235
protein_coding	TTC4	8	10	5
protein_coding	TTC5	27	26	0
protein_coding	TTC6	0	0	2
protein_coding	TTC7A	8	8	8
protein_coding	TTC7B	157	158	338
protein_coding	TTC8	8	8	19
protein_coding	TTC9	211	210	159
protein_coding	TTC9B	0	0	0
protein_coding	TTC9C	42	42	43
protein_coding	TTF1	83	83	93
protein_coding	TTF2	34	34	46
protein_coding	TTI1	176	176	176
protein_coding	TTI2	0	0	0
protein_coding	TTK	84	84	86
protein_coding	TTL	86	86	73
protein_coding	TTLL1	58	57	87
protein_coding	TTLL10	2	2	2
protein_coding	TTLL11	38	38	38
protein_coding	TTLL12	55	55	57
protein_coding	TTLL13	21	21	52
protein_coding	TTLL2	0	0	0
protein_coding	TTLL3	1	1	1
protein_coding	TTLL4	31	31	32
protein_coding	TTLL5	541	540	696
protein_coding	TTLL6	0	0	0
protein_coding	TTLL7	27	27	27
protein_coding	TTLL8	0	0	0
protein_coding	TTLL9	51	52	61
protein_coding	TTN	73	73	76
protein_coding	TTPA	6	6	11
protein_coding	TTPAL	98	98	96
protein_coding	TTR	4	4	60
protein_coding	TTYH1	1	1	0
protein_coding	TTYH2	21	21	52
protein_coding	TTYH3	80	81	88
protein_coding	TUB	2	2	3
protein_coding	TUBA1A	249	324	237
protein_coding	TUBA1B	1442	1354	1341
protein_coding	TUBA1C	683	681	223
protein_coding	TUBA3C	1	1	5
protein_coding	TUBA3D	2	2	2
protein_coding	TUBA3E	0	1	0
protein_coding	TUBA3FP	1	1	0
protein_coding	TUBA4A	363	363	369
protein_coding	TUBA4B	38	39	1
protein_coding	TUBA8	48	48	40
protein_coding	TUBAL3	0	0	0
protein_coding	TUBB	135	135	84
protein_coding	TUBB1	709	709	725
protein_coding	TUBB2A	285	287	299
protein_coding	TUBB2B	4	8	0
protein_coding	TUBB3	14	14	2
protein_coding	TUBB4A	1	1	1
protein_coding	TUBB4B	58	58	498
protein_coding	TUBB6	59	60	44
protein_coding	TUBB8	0	0	0
protein_coding	TUBB8B	0	0	0
