Gene Name	fr	rf	star
ADAM30	0	0	0
ADAM32	0	0	48
ADAM33	0	0	0
ADAM3A	2	3	1
ADAM3B	0	0	1
ADAM5	2	2	0
ADAM6	0	0	0
ADAM7	10	11	15
ADAM7-AS1	0	0	8
ADAM7-AS2	1	1	2
ADAM8	7	7	7
ADAM9	13	13	13
ADAMDEC1	0	0	3
ADAMTS1	8	8	8
ADAMTS10	0	0	0
ADAMTS12	0	0	0
ADAMTS13	0	0	0
ADAMTS14	0	0	0
ADAMTS15	0	0	0
ADAMTS16	0	0	0
ADAMTS16-DT	0	0	0
ADAMTS17	0	0	1
ADAMTS18	0	0	0
ADAMTS19	0	0	0
ADAMTS19-AS1	0	0	1
ADAMTS2	0	0	0
ADAMTS20	0	0	0
ADAMTS3	0	0	0
ADAMTS4	0	0	0
ADAMTS5	89	89	90
ADAMTS6	9	9	8
ADAMTS7	0	0	0
ADAMTS7P1	3	4	0
ADAMTS7P3	0	0	0
ADAMTS7P4	2	1	0
ADAMTS8	0	0	0
ADAMTS9	16	16	16
ADAMTS9-AS1	1	1	1
ADAMTS9-AS2	92	93	104
ADAMTSL1	0	0	0
ADAMTSL2	0	0	0
ADAMTSL3	0	0	0
ADAMTSL4	0	0	0
ADAMTSL4-AS1	0	0	1
ADAMTSL5	0	0	0
ADAP1	68	69	39
ADAP2	0	0	3
ADAR	190	190	187
ADARB1	29	29	35
ADARB2	37	37	56
ADARB2-AS1	1	1	1
ADAT1	32	32	31
ADAT2	0	4	3
ADAT3	0	0	0
ADCK1	0	0	0
ADCK2	26	26	26
ADCK5	0	0	0
ADCY1	0	0	0
ADCY10	0	0	0
ADCY10P1	14	14	16
ADCY2	0	0	0
ADCY3	8	8	9
ADCY4	1	1	0
ADCY5	0	0	0
ADCY6	0	0	1
ADCY6-DT	0	0	0
ADCY7	13	13	14
ADCY8	0	0	0
ADCY9	3	3	3
ADCYAP1	0	0	0
ADCYAP1R1	0	0	0
ADD1	140	140	146
ADD2	6	6	6
ADD3	428	428	434
ADD3-AS1	4	4	3
ADGB	2	2	4
ADGB-DT	0	0	0
ADGRA1	0	0	0
ADGRA1-AS1	0	0	0
ADGRA2	0	0	0
ADGRA3	0	0	0
ADGRA3P1	0	0	0
ADGRB1	0	0	0
ADGRB2	1	1	0
ADGRB3	99	113	120
ADGRB3-DT	0	0	1
ADGRD1	2	2	0
ADGRD1-AS1	0	0	0
ADGRD2	0	0	0
ADGRE1	69	69	70
ADGRE2	11	11	11
ADGRE3	13	13	15
ADGRE4P	1	1	2
ADGRE5	46	45	37
ADGRF1	0	0	0
ADGRF2	19	10	12
ADGRF3	0	0	0
ADGRF4	1	1	0
ADGRF5	2	4	2
ADGRF5-AS1	0	0	0
ADGRF5P1	0	0	0
ADGRF5P2	0	0	0
ADGRG1	44	44	45
ADGRG2	0	0	0
ADGRG3	5	5	3
ADGRG4	0	0	0
ADGRG5	0	0	0
ADGRG6	2	2	2
ADGRG7	0	0	0
ADGRL1	0	0	0
ADGRL1-AS1	9	8	1
ADGRL2	49	49	49
ADGRL3	0	0	0
ADGRL3-AS1	24	21	28
ADGRL4	67	67	56
ADGRV1	0	0	0
ADH1A	13	14	9
ADH1B	26	26	33
ADH1C	0	1	1
ADH4	0	0	0
ADH5	83	83	64
ADH5P2	0	0	0
ADH5P3	0	0	0
ADH5P4	8	8	0
ADH5P5	0	0	0
ADH6	27	27	28
ADH7	0	0	0
ADHFE1	22	13	26
ADI1	23	23	0
ADI1P1	8	8	8
ADI1P2	0	0	0
ADI1P3	0	0	0
ADIG	0	0	0
ADIPOQ	4	4	0
ADIPOQ-AS1	0	0	0
ADIPOR1	1114	1117	1081
ADIPOR1P1	0	0	0
ADIPOR1P2	1	1	1
ADIPOR2	0	0	0
ADIRF	6	6	13
ADIRF-AS1	1	2	1
ADK	20	20	21
ADM	0	0	0
ADM2	0	0	0
ADM5	0	0	0
ADNP	156	156	163
ADNP2	53	53	53
ADNP-AS1	3	7	3
ADO	51	51	51
ADORA1	0	0	0
ADORA2A	2	2	2
ADORA2A-AS1	8	8	6
ADORA2B	0	0	0
ADORA2BP1	0	0	0
ADORA3	32	32	32
ADPGK	6	6	0
ADPGK-AS1	1	1	1
ADPRH	1	1	1
ADPRHL1	24	24	25
ADPRM	19	19	20
ADPRS	65	65	66
ADRA1A	0	0	0
ADRA1B	0	0	0
ADRA1D	2	2	1
ADRA2A	1	1	1
ADRA2B	0	0	0
ADRA2C	0	0	0
ADRB1	1	1	70
ADRB2	8	8	13
ADRB3	0	0	2
ADRM1	45	45	45
ADSL	32	32	35
ADSS1	0	0	0
ADSS2	35	35	35
ADTRP	0	0	0
AEBP1	1	1	0
AEBP2	60	60	71
AEN	10	10	10
AFAP1	11	11	11
AFAP1-AS1	0	0	2
AFAP1L1	32	32	32
AFAP1L2	30	30	30
AFDN	62	62	56
AFDN-DT	0	0	4
AFF1	284	284	290
AFF1-AS1	10	10	9
AFF2	98	100	122
AFF3	42	42	44
AFF4	94	94	90
AFG1L	45	45	46
AFG3L1P	3	3	3
AFG3L2	7	7	15
AFG3L2P1	4	4	2
AFM	0	0	0
AFMID	6	5	3
AFP	0	0	1
AFTPH	218	216	99
AFTPH-DT	0	0	9
AGA	0	0	0
AGAP1	36	36	37
AGAP10P	2	3	0
AGAP11	7	7	6
AGAP12P	1	2	2
AGAP13P	6	2	0
AGAP14P	3	4	0
AGAP1-IT1	0	0	0
AGAP2	8	8	8
AGAP2-AS1	0	0	0
AGAP3	0	0	0
AGAP4	2	2	1
AGAP5	3	1	3
AGAP6	1	3	0
AGAP7P	12	12	0
AGAP9	0	0	1
AGBL1	0	0	0
AGBL1-AS1	0	0	3
AGBL2	9	8	5
AGBL3	0	0	1
AGBL4	0	0	0
AGBL4-AS1	2	2	2
AGBL4-IT1	14	21	18
AGBL5	0	0	0
AGBL5-AS1	0	0	1
AGER	0	0	0
AGFG1	56	57	94
AGFG2	4	4	6
AGGF1	93	95	70
AGGF1P1	0	0	0
AGGF1P10	0	0	0
AGGF1P2	0	0	0
AGGF1P3	1	1	0
AGGF1P4	0	0	0
AGGF1P5	0	0	0
AGGF1P6	1	1	0
AGGF1P7	0	0	0
AGGF1P8	0	0	0
AGGF1P9	0	0	0
AGK	0	0	0
AGKP1	0	0	0
AGKP2	0	0	0
AGL	8	8	8
AGMAT	0	0	0
AGMO	0	0	0
AGO1	42	42	43
AGO2	232	232	254
AGO3	0	0	0
AGO4	41	47	32
AGPAT1	8	8	35
AGPAT2	3	3	3
AGPAT3	69	69	70
AGPAT4	31	31	40
AGPAT4-IT1	0	0	0
AGPAT5	4	4	0
AGPAT5P1	0	0	2
AGPS	97	97	101
AGR2	0	0	3
AGR3	0	0	0
AGRN	0	0	0
AGRP	0	0	0
