,Gene Name,SGI75460067_x,SGI75460067_y,SGI75460068,SGI75460075,SGI75460076,SGI75460103,SGI75460104
130,ABHD2,0.208296,0.208296,0.208296,0.208296,0.208296,0.208296,0.208296
131,ABHD3,0.016345,0.016345,0.016345,0.016345,0.016345,0.016345,0.016345
132,ABHD4,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292,0.000292
133,ABHD5,0.639492,0.639492,0.639492,0.639492,0.639492,0.639492,0.639492
134,ABHD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,ABHD8,0.000591,0.000591,0.000591,0.000591,0.000591,0.000591,0.000591
136,ABI1,0.422128,0.422128,0.422128,0.422128,0.422128,0.422128,0.422128
137,ABI1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,ABI2,0.093858,0.093858,0.093858,0.093858,0.093858,0.093858,0.093858
139,ABI3,0.346569,0.346569,0.346569,0.346569,0.346569,0.346569,0.346569
140,ABI3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,ABITRAM,0.116306,0.116306,0.116306,0.116306,0.116306,0.116306,0.116306
142,ABITRAMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,ABL1,0.003151,0.003151,0.003151,0.003151,0.003151,0.003151,0.003151
144,ABL2,0.035737,0.035737,0.035737,0.035737,0.035737,0.035737,0.035737
145,ABLIM1,0.179896,0.179896,0.179896,0.179896,0.179896,0.179896,0.179896
146,ABLIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,ABLIM3,0.335598,0.335598,0.335598,0.335598,0.335598,0.335598,0.335598
148,ABO,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133,0.00133
149,ABR,0.057995,0.057995,0.057995,0.057995,0.057995,0.057995,0.057995
150,ABRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,ABRACL,2.014776,2.014776,2.014776,2.014776,2.014776,2.014776,2.014776
152,ABRAXAS1,0.26876,0.26876,0.26876,0.26876,0.26876,0.26876,0.26876
153,ABRAXAS2,0.216208,0.216208,0.216208,0.216208,0.216208,0.216208,0.216208
154,ABT1,0.069406,0.069406,0.069406,0.069406,0.069406,0.069406,0.069406
155,ABT1P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,ABTB1,0.600013,0.600013,0.600013,0.600013,0.600013,0.600013,0.600013
157,ABTB2,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188,0.000188
158,ACAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,ACAA2,0.091774,0.091774,0.091774,0.091774,0.091774,0.091774,0.091774
160,ACAA2P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,ACACA,0.006742,0.006742,0.006742,0.006742,0.006742,0.006742,0.006742
162,ACACB,0.010743,0.010743,0.010743,0.010743,0.010743,0.010743,0.010743
163,ACAD10,0.003939,0.003939,0.003939,0.003939,0.003939,0.003939,0.003939
164,ACAD11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,ACAD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,ACAD9,0.002182,0.002182,0.002182,0.002182,0.002182,0.002182,0.002182
167,ACADL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,ACADM,0.2025,0.2025,0.2025,0.2025,0.2025,0.2025,0.2025
169,ACADS,0.005983,0.005983,0.005983,0.005983,0.005983,0.005983,0.005983
170,ACADSB,0.019089,0.019089,0.019089,0.019089,0.019089,0.019089,0.019089
171,ACADVL,0.183767,0.183767,0.183767,0.183767,0.183767,0.183767,0.183767
172,ACAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,ACAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,ACAP2,0.986463,0.986463,0.986463,0.986463,0.986463,0.986463,0.986463
175,ACAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,ACAT1,0.208856,0.208856,0.208856,0.208856,0.208856,0.208856,0.208856
177,ACAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,ACBD3,0.037434,0.037434,0.037434,0.037434,0.037434,0.037434,0.037434
179,ACBD3-AS1,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128,0.000128
180,ACBD4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,ACBD5,0.299458,0.299458,0.299458,0.299458,0.299458,0.299458,0.299458
182,ACBD6,0.28883,0.28883,0.28883,0.28883,0.28883,0.28883,0.28883
183,ACBD7,0.036721,0.036721,0.036721,0.036721,0.036721,0.036721,0.036721
