Gene Name	Gene type
TRL-CAG1-1	tRNA
TRA-CGC5-1	tRNA
TRR-ACG1-1	tRNA
TRA-AGC8-2	tRNA
TRK-CTT2-2	tRNA
TRA-CGC2-1	tRNA
TRI-AAT7-1	tRNA
TRN-GTT2-2	tRNA
TRY-GTA4-1	tRNA
TRR-CCT4-1	tRNA
TRE-TTC4-2	tRNA
TRV-TAC4-1	tRNA
TRE-CTC2-1	tRNA
TRR-TCG2-1	tRNA
TRD-GTC2-1	tRNA
TRC-GCA9-2	tRNA
TRC-GCA2-4	tRNA
TRF-GAA1-3	tRNA
TRV-CAC3-1	tRNA
TRE-TTC1-1	tRNA
TRT-TGT4-1	tRNA
TRQ-TTG4-1	tRNA
TRY-GTA5-3	tRNA
TRK-TTT3-2	tRNA
TRI-GAT1-3	tRNA
TRR-ACG2-4	tRNA
TRS-TGA3-1	tRNA
TRS-AGA5-1	tRNA
TRT-AGT3-1	tRNA
TRC-GCA14-1	tRNA
TRW-CCA3-1	tRNA
TRY-GTA5-1	tRNA
TRT-AGT5-1	tRNA
TRV-CAC1-4	tRNA
TRNAV-CAC	tRNA
TRG-CCC6-1	tRNA
TRV-CAC5-1	tRNA
TRN-GTT27-1	tRNA
TRN-GTT9-1	tRNA
TRN-GTT25-1	tRNA
TRN-GTT10-1	tRNA
TRQ-CTG3-1	tRNA
TRN-GTT24-1	tRNA
TRN-GTT5-1	tRNA
TRE-TTC4-1	tRNA
TRG-CCC4-1	tRNA
TRK-CTT7-1	tRNA
TRC-GCA7-1	tRNA
TRN-GTT7-1	tRNA
TRNAI-AAU	tRNA
TRM-CAT5-2	tRNA
TRM-CAT4-3	tRNA
TRI-AAT7-2	tRNA
TRN-GTT26-1	tRNA
TRNAE-UUC	tRNA
TRL-CAA1-1	tRNA
TRA-AGC14-2	tRNA
TRA-AGC24-1	tRNA
TRNAA-AGC	tRNA
TRNAG-CCC	tRNA
TRNAN-GUU	tRNA
TRS-AGA2-3	tRNA
TRS-TGA4-1	tRNA
TRG-CCC2-2	tRNA
TRA-TGC7-1	tRNA
TRE-TTC3-1	tRNA
TRG-CCC1-1	tRNA
TRG-GCC2-6	tRNA
TRG-TCC1-1	tRNA
TRG-GCC3-1	tRNA
TRI-AAT9-1	tRNA
TRK-TTT3-5	tRNA
TRL-AAG2-3	tRNA
TRL-TAG1-1	tRNA
TRX-CAT1-2	tRNA
TRN-GTT2-7	tRNA
TRP-AGG2-5	tRNA
TRP-AGG2-6	tRNA
TRP-TGG3-1	tRNA
TRQ-CTG1-5	tRNA
TRQ-TTG1-1	tRNA
TRR-TCT2-1	tRNA
TRR-ACG1-2	tRNA
TRR-TCG4-1	tRNA
TRR-CCG2-1	tRNA
TRU-TCA1-1	tRNA
TRU-TCA2-1	tRNA
TRT-TGT6-1	tRNA
TRT-TGT3-1	tRNA
TRV-AAC1-4	tRNA
TRV-CAC1-2	tRNA
TRV-AAC1-3	tRNA
TRS-AGA3-1	tRNA
TRK-CTT2-3	tRNA
TRN-GTT4-1	tRNA
TRN-GTT6-1	tRNA
TRV-AAC1-5	tRNA
TRV-AAC3-1	tRNA
TRV-CAC1-3	tRNA
TRS-TGA2-1	tRNA
TRNAV-CAC_1	tRNA
TRNAA-AGC_3	tRNA
TRNAA-AGC_2	tRNA
TRNAA-AGC_1	tRNA
TRNAA-AGC_4	tRNA
