Gene Name	Gene type
EI24P1	pseudo
RANP5	pseudo
ZFRP1	pseudo
GAMTP2	pseudo
SNRPEP1	pseudo
LOC100129456	pseudo
LOC100129457	pseudo
PWWP2AP1	pseudo
BOD1P1	pseudo
PLS1P1	pseudo
PTP4A1P6	pseudo
C4orf46P1	pseudo
SLC35C2P1	pseudo
RPL24P9	pseudo
LOC100129492	pseudo
LOC100129497	pseudo
MAN1A2P1	pseudo
POU5F1P2	pseudo
RPL26P23	pseudo
LOC100129526	pseudo
LOC100129527	pseudo
RPS29P21	pseudo
RPS26P38	pseudo
RPL13AP16	pseudo
LOC100129554	pseudo
HMGN1P7	pseudo
RPS10P27	pseudo
HNRNPA3P8	pseudo
MYL6P3	pseudo
PTP4A1P4	pseudo
SNRPCP2	pseudo
PEBP1P3	pseudo
LOC100129573	pseudo
LOC100129574	pseudo
MR1P1	pseudo
MTCH1P1	pseudo
RPL17P44	pseudo
LOC100129586	pseudo
VN1R34P	pseudo
LOC100129589	pseudo
RPL29P24	pseudo
FAM8A3P	pseudo
PRUNEP1	pseudo
RPS29P14	pseudo
LOC100129601	pseudo
PABPC1P12	pseudo
LOC100129607	pseudo
PRAMEF31P	pseudo
LOC100129616	pseudo
THAP5P2	pseudo
RSU1P1	pseudo
LOC100129626	pseudo
PPP1R1AP2	pseudo
EIF2S2P6	pseudo
IGHV2OR16-5	pseudo
RPL9P19	pseudo
DDX55P1	pseudo
BTG1P1	pseudo
POM121L11P	pseudo
RPL18P9	pseudo
LOC100129646	pseudo
RPL5P35	pseudo
PGDP2	pseudo
RPS26P55	pseudo
RPL17P18	pseudo
HAX1P1	pseudo
PRELID3BP1	pseudo
LOC100129667	pseudo
RPL18P8	pseudo
LOC100129672	pseudo
LOC100129682	pseudo
WEE1P2	pseudo
RPL21P125	pseudo
LOC100129687	pseudo
RAD1P2	pseudo
EIF4BP9	pseudo
LOC100129693	pseudo
R3HDM2P2	pseudo
INHCAP	pseudo
HMGB1P13	pseudo
LOC100129707	pseudo
IPO7P1	pseudo
RCC2P8	pseudo
RPS13P3	pseudo
HMGB1P12	pseudo
LOC100129725	pseudo
TMED10P2	pseudo
LOC100129728	pseudo
RAB11AP1	pseudo
RPS6P15	pseudo
LOC100129734	pseudo
CDV3P1	pseudo
SETP9	pseudo
DYNLL1P4	pseudo
RPS3AP13	pseudo
RPL7P14	pseudo
RSL24D1P1	pseudo
AMD1P4	pseudo
AKR1B1P6	pseudo
TMPOP1	pseudo
LOC100129774	pseudo
LOC100129776	pseudo
BNIP3P6	pseudo
DNAJB6P5	pseudo
ATP5F1AP4	pseudo
RPL17P26	pseudo
TLK1P1	pseudo
NPM1P50	pseudo
RPL13P13	pseudo
RPL13AP21	pseudo
RPL12P37	pseudo
RPL24P6	pseudo
CT45A11P	pseudo
PGAM1P13	pseudo
TUBAP6	pseudo
RPL22P7	pseudo
PIP5K1P2	pseudo
LOC100129830	pseudo
PDK1P2	pseudo
LOC100129844	pseudo
LOC100129847	pseudo
CLDN7P1	pseudo
DNAJC19P1	pseudo
LOC100129854	pseudo
RPL37AP5	pseudo
RSL24D1P7	pseudo
SUCLA2P2	pseudo
EI24P2	pseudo
RPL30P14	pseudo
GRPEL2P3	pseudo
NENFP2	pseudo
RPL31P49	pseudo
RPS29P11	pseudo
RPS27P19	pseudo
HMGB1P45	pseudo
HNRNPA1P40	pseudo
RPL15P4	pseudo
LOC100129923	pseudo
RPL12P13	pseudo
RPL31P5	pseudo
NUP210P2	pseudo
RPL10P10	pseudo
GLYATL1P2	pseudo
RPL34P14	pseudo
KNOP1P1	pseudo
RPS10P31	pseudo
RSL24D1P5	pseudo
LOC100129942	pseudo
LOC100129947	pseudo
LOC100129948	pseudo
LOC100129949	pseudo
RPL39P10	pseudo
RRN3P4	pseudo
HMGN2P48	pseudo
LOC100129957	pseudo
KRT8P44	pseudo
AK3P4	pseudo
SDCBPP2	pseudo
MTCH1P2	pseudo
NPM1P47	pseudo
RPL10P15	pseudo
BRI3BPP1	pseudo
RPL12P19	pseudo
UBE2CP3	pseudo
LOC100129989	pseudo
RPL38P2	pseudo
GRPEL2P2	pseudo
MTRES1P1	pseudo
SPIN2P1	pseudo
RPL5P27	pseudo
LOC100130001	pseudo
HNRNPA1P23	pseudo
SNRPGP2	pseudo
EIF4A1P11	pseudo
HMGA1P8	pseudo
SYPL1P1	pseudo
SETP5	pseudo
LOC100130018	pseudo
RPL38P5	pseudo
HMGA1P6	pseudo
RPL36AP12	pseudo
BLOC1S6P1	pseudo
OSBPL9P2	pseudo
MTHFD2P6	pseudo
SETP17	pseudo
LOC100130044	pseudo
LOC100130048	pseudo
LOC100130049	pseudo
LOC100130052	pseudo
VN1R70P	pseudo
GNPATP	pseudo
LOC100130063	pseudo
EIF4BP4	pseudo
RPL9P22	pseudo
HPRT1P1	pseudo
RPS27P13	pseudo
LOC100130072	pseudo
IQSEC3P2	pseudo
KRT17P8	pseudo
RFPL4AP6	pseudo
LOC100130088	pseudo
SFR1P1	pseudo
KIF28P	pseudo
MIPEPP2	pseudo
WBP11P2	pseudo
TRIM51CP	pseudo
RPS23P7	pseudo
ZNF849P	pseudo
SNRPEP4	pseudo
ZSWIM5P1	pseudo
LOC100130114	pseudo
DDX6P2	pseudo
LAMTOR3P1	pseudo
LOC100130121	pseudo
STAU2P1	pseudo
LOC100130137	pseudo
UBE2D3P2	pseudo
KNOP1P5	pseudo
NUS1P4	pseudo
SPRING1P2	pseudo
JPT1P1	pseudo
CNEP1R1P1	pseudo
LOC100130177	pseudo
LSM3P4	pseudo
LOC100130180	pseudo
RPS24P19	pseudo
TUBB3P2	pseudo
SRRM1P3	pseudo
RPS12P31	pseudo
HNRNPCP9	pseudo
LOC100130203	pseudo
NIPA2P2	pseudo
CHMP4AP1	pseudo
LOC100130210	pseudo
EEF1A1P29	pseudo
RPL13P11	pseudo
NPM1P8	pseudo
EEF1A1P27	pseudo
KATNBL1P2	pseudo
UBA52P6	pseudo
RPS5P2	pseudo
COX6CP3	pseudo
NXNP1	pseudo
RCBTB2P1	pseudo
SALL4P2	pseudo
EEF1GP2	pseudo
ARL2BPP4	pseudo
LOC100130270	pseudo
CDC27P2	pseudo
HMGB1P44	pseudo
RPL34P11	pseudo
SNRPGP10	pseudo
IDI1P2	pseudo
RPS27AP13	pseudo
SPDYE19P	pseudo
MSANTD2P1	pseudo
RPS6P23	pseudo
SELENOTP2	pseudo
TAF9BP2	pseudo
LOC100130321	pseudo
LOC100130326	pseudo
NDUFA5P5	pseudo
LOC100130329	pseudo
NAP1L1P3	pseudo
PABPC1P9	pseudo
RPS6P5	pseudo
LOC100130353	pseudo
MED28P4	pseudo
SNRPGP4	pseudo
RPL13P14	pseudo
MTRF1LP2	pseudo
HIGD1AP12	pseudo
CENPUP1	pseudo
EEF1E1P1	pseudo
YWHAQP5	pseudo
RPL9P20	pseudo
LOC100130394	pseudo
ATP5MGP4	pseudo
RPL21P92	pseudo
B3GALNT2P1	pseudo
RPA3P2	pseudo
HMGB3P26	pseudo
BTF3P15	pseudo
RPS7P13	pseudo
LOC100130437	pseudo
RPS27AP12	pseudo
RPL12P16	pseudo
MRS2P1	pseudo
RPL3P5	pseudo
LOC100130455	pseudo
LOC100130459	pseudo
CBX1P4	pseudo
HNF4GP1	pseudo
NUCKS1P1	pseudo
CCT6P4	pseudo
UBFD1P1	pseudo
LOC100130485	pseudo
LOC100130487	pseudo
GXYLT1P7	pseudo
TPRG1LP1	pseudo
RPS12P26	pseudo
DNAJB6P4	pseudo
SKP2P1	pseudo
PGAM1P1	pseudo
RPL5P8	pseudo
RPL6P23	pseudo
SUCLG2P4	pseudo
LOC100130531	pseudo
LOC100130532	pseudo
VIM2P	pseudo
RPL31P26	pseudo
ISCA1P6	pseudo
LOC100130550	pseudo
RPL23AP68	pseudo
HMGB1P10	pseudo
RPS2P5	pseudo
SEPTIN7P7	pseudo
EIF1P4	pseudo
LOC100130571	pseudo
RAD23BP2	pseudo
LOC100130574	pseudo
PHB1P20	pseudo
LOC100130582	pseudo
CLIC4P2	pseudo
CICP14	pseudo
LOC100130602	pseudo
RBM22P13	pseudo
NPM1P51	pseudo
WDR4P1	pseudo
LOC100130612	pseudo
LOC100130618	pseudo
LOC100130620	pseudo
RANP4	pseudo
RPL15P22	pseudo
ELOCP18	pseudo
RPL23P3	pseudo
EEF1B2P4	pseudo
LOC100130632	pseudo
SPATA31D2P	pseudo
MORF4L1P7	pseudo
LOC100130639	pseudo
YWHAZP7	pseudo
GPR160P1	pseudo
HNRNPA1P45	pseudo
LOC100130664	pseudo
IFNWP9	pseudo
LOC100130674	pseudo
RPSAP38	pseudo
NFYAP1	pseudo
ANKRD49P4	pseudo
USP12P2	pseudo
LOC100130683	pseudo
FSIP2LP	pseudo
FABP5P6	pseudo
ARHGAP42P2	pseudo
RSL24D1P10	pseudo
CAPZA1P4	pseudo
ANP32BP2	pseudo
LOC100130714	pseudo
RPL34P26	pseudo
UQCRBP2	pseudo
RSL24D1P3	pseudo
CCNYL5	pseudo
LOC100130731	pseudo
LOC100130746	pseudo
LOC100130747	pseudo
LOC100130748	pseudo
RPS8P9	pseudo
UQCRHP1	pseudo
METTL15P1	pseudo
LOC100130760	pseudo
MTA3P1	pseudo
RPS27P23	pseudo
RPS15AP15	pseudo
NDUFAF2P2	pseudo
SALL4P5	pseudo
RPS3AP22	pseudo
RPL29P27	pseudo
NDUFS5P7	pseudo
SRSF10P1	pseudo
LOC100130801	pseudo
RPL39P13	pseudo
UBL5P1	pseudo
CCNG1P1	pseudo
OSBPL9P1	pseudo
RPS17P9	pseudo
LOC100130841	pseudo
SMIM7P1	pseudo
SPRYD7P1	pseudo
TSPY20P	pseudo
LOC100130854	pseudo
LOC100130861	pseudo
IFNWP15	pseudo
ARMC8P1	pseudo
CARM1P1	pseudo
ZNRF2P3	pseudo
LOC100130881	pseudo
LOC100130891	pseudo
RPL7P32	pseudo
FLYWCH1P1	pseudo
LOC100130909	pseudo
RPL22P22	pseudo
PSMA2P1	pseudo
RPL5P33	pseudo
SNRPGP15	pseudo
ADI1P1	pseudo
ATP5MC1P7	pseudo
RPL38P4	pseudo
RPL7L1P4	pseudo
CTBP2P2	pseudo
PPP1R2P6	pseudo
RPS2P35	pseudo
RPL26P28	pseudo
LOC100130990	pseudo
UQCRFS1P3	pseudo
ZNF969P	pseudo
YPEL5P1	pseudo
LOC100131011	pseudo
YBX1P4	pseudo
LOC100131013	pseudo
RPL9P23	pseudo
SLC25A5P4	pseudo
TNPO3P1	pseudo
ANKRD18EP	pseudo
PPIGP1	pseudo
HMGB3P28	pseudo
LOC100131038	pseudo
LOC100131041	pseudo
SALL4P3	pseudo
MED28P3	pseudo
RPS4XP15	pseudo
VN1R38P	pseudo
WASHC3P1	pseudo
KPNB1P1	pseudo
MOB4P2	pseudo
LOC100131080	pseudo
RPS8P5	pseudo
DNM1P17	pseudo
RPL7P12	pseudo
RPLP1P11	pseudo
ISCA1P3	pseudo
TATDN2P1	pseudo
SRSF3P4	pseudo
VN1R67P	pseudo
LOC100131124	pseudo
LOC100131126	pseudo
LOC100131127	pseudo
HNRNPA1P13	pseudo
MTHFD2P4	pseudo
VN1R95P	pseudo
RPL23AP19	pseudo
LOC100131146	pseudo
RPLP0P8	pseudo
LOC100131158	pseudo
LOC100131159	pseudo
RPL39P20	pseudo
RPSAP39	pseudo
RPS29P12	pseudo
HMGN2P30	pseudo
LIPT1P1	pseudo
SSR1P2	pseudo
RPS25P8	pseudo
M6PRP1	pseudo
RPL29P16	pseudo
DNAJA1P2	pseudo
LOC100131216	pseudo
LOC100131223	pseudo
RPL6P17	pseudo
RPL30P4	pseudo
LOC100131233	pseudo
PCBP2P3	pseudo
LOC100131241	pseudo
RPL9P27	pseudo
SPCS2P1	pseudo
PRXL2AP2	pseudo
LOC100131254	pseudo
PNRC2P1	pseudo
LOC100131264	pseudo
TPT1P1	pseudo
C2orf69P3	pseudo
LOC100131280	pseudo
GLUD1P9	pseudo
PSMD14P1	pseudo
RPS19P5	pseudo
ACTG1P21	pseudo
LOC100131294	pseudo
PTCD2P1	pseudo
BNIP3P21	pseudo
THAP12P9	pseudo
UQCRC2P1	pseudo
FAM210CP	pseudo
RPL18P6	pseudo
RPL15P13	pseudo
RPL32P4	pseudo
NT5DC1P1	pseudo
LOC100131348	pseudo
RPL3P12	pseudo
LOC100131360	pseudo
DUX4L27	pseudo
DDX18P6	pseudo
PABPC1P5	pseudo
RPL36AP1	pseudo
RPL39P32	pseudo
NDUFA3P1	pseudo
UBQLN4P2	pseudo
RPS6P14	pseudo
LOC100131411	pseudo
OR7E163P	pseudo
RPS27P22	pseudo
LOC100131425	pseudo
LOC100131429	pseudo
CDC42P4	pseudo
LOC100131441	pseudo
RCC2P5	pseudo
CTDSPL2P2	pseudo
TLR12P	pseudo
SLC25A1P1	pseudo
LOC100131465	pseudo
RPS6P9	pseudo
RPSAP62	pseudo
LOC100131471	pseudo
NPM1P33	pseudo
LOC100131479	pseudo
RPL21P38	pseudo
TXNL4AP1	pseudo
ZIK1P1	pseudo
LOC100131495	pseudo
RPL6P32	pseudo
RPL26P6	pseudo
RPL19P7	pseudo
APOOP3	pseudo
LOC100131529	pseudo
DPY19L4P1	pseudo
RPL5P28	pseudo
LOC100131536	pseudo
ECEL1P1	pseudo
RPS6P4	pseudo
CNN2P12	pseudo
LOC100131553	pseudo
ZCRB1P1	pseudo
LOC100131557	pseudo
CBY1P1	pseudo
EIF4EP5	pseudo
RBM43P1	pseudo
RPS27P9	pseudo
BMS1P19	pseudo
LOC100131593	pseudo
LOC100131597	pseudo
HNRNPA1P2	pseudo
PGAM4P2	pseudo
RPS4XP22	pseudo
CASP3P1	pseudo
ETS2P1	pseudo
NUTF2P6	pseudo
WASF1P1	pseudo
LOC100131625	pseudo
ARL2BPP7	pseudo
CCT4P2	pseudo
RBM22P12	pseudo
SDCBPP3	pseudo
FTLP5	pseudo
SEC13P1	pseudo
RPL21P87	pseudo
LOC100131676	pseudo
CCNB3P1	pseudo
LOC100131680	pseudo
LOC100131685	pseudo
VN1R68P	pseudo
LOC100131689	pseudo
EIF4EP2	pseudo
RNF11P1	pseudo
RFC3P1	pseudo
RPL29P11	pseudo
LOC100131725	pseudo
RPL37AP7	pseudo
LOC100131736	pseudo
CIR1P1	pseudo
GAPDHP40	pseudo
LOC100131747	pseudo
RPL19P3	pseudo
GXYLT1P5	pseudo
RPS12P12	pseudo
LOC100131770	pseudo
PSMA2P2	pseudo
DPPA2P4	pseudo
LOC100131779	pseudo
ARL2BPP8	pseudo
LOC100131785	pseudo
RPS27P7	pseudo
RPL26P29	pseudo
VN1R46P	pseudo
RPL15P19	pseudo
UBE2D3P4	pseudo
RPL6P18	pseudo
ADH5P3	pseudo
SUMO2P7	pseudo
CIR1P2	pseudo
ZFP91P1	pseudo
HNRNPCP8	pseudo
RPL23AP83	pseudo
LOC100131849	pseudo
CCDC12P1	pseudo
CDRT15P5	pseudo
LOC100131859	pseudo
RPS18P5	pseudo
RPS2P9	pseudo
LOC100131868	pseudo
CFL1P3	pseudo
LOC100131877	pseudo
ZYG11AP1	pseudo
EI24P3	pseudo
LOC100131884	pseudo
LOC100131890	pseudo
RPL3P11	pseudo
E2F4P1	pseudo
