Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
pseudo	LOC124901504	SGI75460104	26544	LOC124901504	0	0.0	LOC124901504	0	0.0
pseudo	LOC124901510	SGI75460104	26538	LOC124901510	0	0.0	LOC124901510	0	0.0
pseudo	LOC124901511	SGI75460104	26537	LOC124901511	0	0.0	LOC124901511	0	0.0
pseudo	LOC124901512	SGI75460104	26536	LOC124901512	0	0.0	LOC124901512	0	0.0
pseudo	LOC124901513	SGI75460104	26535	LOC124901513	0	0.0	LOC124901513	0	0.0
pseudo	LOC124901514	SGI75460104	26534	LOC124901514	0	0.0	LOC124901514	0	0.0
pseudo	LOC124901515	SGI75460104	26533	LOC124901515	0	0.0	LOC124901515	0	0.0
pseudo	LOC124901517	SGI75460104	26531	LOC124901517	0	0.0	LOC124901517	0	0.0
pseudo	LOC124901519	SGI75460104	26529	LOC124901519	0	0.0	LOC124901519	0	0.0
pseudo	LOC124901520	SGI75460104	26528	LOC124901520	0	0.0	LOC124901520	0	0.0
pseudo	LOC124901521	SGI75460104	26527	LOC124901521	3	0.1315861903802161	LOC124901521	3	0.1690000789230368
pseudo	LOC124901524	SGI75460104	26524	LOC124901524	0	0.0	LOC124901524	0	0.0
pseudo	LOC124901525	SGI75460104	26523	LOC124901525	0	0.0	LOC124901525	0	0.0
pseudo	LOC124901546	SGI75460104	26502	LOC124901546	0	0.0	LOC124901546	0	0.0
pseudo	LOC124901547	SGI75460104	26501	LOC124901547	0	0.0	LOC124901547	0	0.0
pseudo	LOC124901548	SGI75460104	26500	LOC124901548	0	0.0	LOC124901548	0	0.0
pseudo	LOC124901549	SGI75460104	26499	LOC124901549	0	0.0	LOC124901549	0	0.0
pseudo	LOC124901550	SGI75460104	26498	LOC124901550	0	0.0	LOC124901550	0	0.0
pseudo	LOC124901551	SGI75460104	26497	LOC124901551	0	0.0	LOC124901551	0	0.0
pseudo	LOC124901552	SGI75460104	26496	LOC124901552	0	0.0	LOC124901552	0	0.0
pseudo	LOC124901553	SGI75460104	26495	LOC124901553	0	0.0	LOC124901553	0	0.0
pseudo	LOC124901554	SGI75460104	26494	LOC124901554	0	0.0	LOC124901554	0	0.0
pseudo	LOC124901555	SGI75460104	26493	LOC124901555	0	0.0	LOC124901555	0	0.0
pseudo	LOC124901556	SGI75460104	26492	LOC124901556	0	0.0	LOC124901556	0	0.0
pseudo	LOC124901557	SGI75460104	26491	LOC124901557	0	0.0	LOC124901557	0	0.0
pseudo	LOC124901558	SGI75460104	26490	LOC124901558	0	0.0	LOC124901558	0	0.0
pseudo	LOC124901559	SGI75460104	26489	LOC124901559	0	0.0	LOC124901559	0	0.0
pseudo	LOC124901560	SGI75460104	26488	LOC124901560	1	0.043862063460072	LOC124901560	0	0.0
pseudo	LOC124901822	SGI75460104	26487	LOC124901822	0	0.0	LOC124901822	0	0.0
pseudo	LOC124901823	SGI75460104	26486	LOC124901823	0	0.0	LOC124901823	0	0.0
pseudo	LOC124901824	SGI75460104	26485	LOC124901824	0	0.0	LOC124901824	0	0.0
pseudo	LOC124901825	SGI75460104	26484	LOC124901825	0	0.0	LOC124901825	0	0.0
pseudo	LOC124901840	SGI75460104	26469	LOC124901840	0	0.0	LOC124901840	0	0.0
pseudo	LOC124901845	SGI75460104	26464	LOC124901845	0	0.0	LOC124901845	0	0.0
pseudo	LOC124901849	SGI75460104	26460	LOC124901849	0	0.0	LOC124901849	0	0.0
pseudo	LOC124901851	SGI75460104	26458	LOC124901851	0	0.0	LOC124901851	0	0.0
pseudo	LOC124901852	SGI75460104	26457	LOC124901852	0	0.0	LOC124901852	0	0.0
pseudo	LOC124901853	SGI75460104	26456	LOC124901853	4	0.1754482538402881	LOC124901853	0	0.0
pseudo	LOC124901855	SGI75460104	26454	LOC124901855	0	0.0	LOC124901855	1	0.0563333596410122
pseudo	LOC124901856	SGI75460104	26453	LOC124901856	0	0.0	LOC124901856	0	0.0
