Gene type	Gene Name	Unnamed: 0	Unnamed: 1	Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
miRNA	MIR378A	SGI75460104	23382	MIR378A	0	0.0	MIR378A	0	0.0
miRNA	MIR378B	SGI75460104	23381	MIR378B	0	0.0	MIR378B	0	0.0
miRNA	MIR378C	SGI75460104	23380	MIR378C	0	0.0	MIR378C	0	0.0
miRNA	MIR378D1	SGI75460104	23379	MIR378D1	0	0.0	MIR378D1	0	0.0
miRNA	MIR378D2	SGI75460104	23378	MIR378D2	1	0.043862063460072	MIR378D2	1	0.0563333596410122
miRNA	MIR378E	SGI75460104	23376	MIR378E	0	0.0	MIR378E	0	0.0
miRNA	MIR378F	SGI75460104	23375	MIR378F	0	0.0	MIR378F	0	0.0
miRNA	MIR378G	SGI75460104	23374	MIR378G	0	0.0	MIR378G	0	0.0
miRNA	MIR378H	SGI75460104	23373	MIR378H	0	0.0	MIR378H	0	0.0
miRNA	MIR378I	SGI75460104	23372	MIR378I	3	0.1315861903802161	MIR378I	3	0.1690000789230368
miRNA	MIR378J	SGI75460104	23371	MIR378J	0	0.0	MIR378J	0	0.0
miRNA	MIR379	SGI75460104	23370	MIR379	0	0.0	MIR379	0	0.0
miRNA	MIR380	SGI75460104	23369	MIR380	0	0.0	MIR380	0	0.0
miRNA	MIR381	SGI75460104	23368	MIR381	0	0.0	MIR381	0	0.0
miRNA	MIR382	SGI75460104	23366	MIR382	3	0.1315861903802161	MIR382	0	0.0
miRNA	MIR383	SGI75460104	23365	MIR383	0	0.0	MIR383	0	0.0
miRNA	MIR384	SGI75460104	23364	MIR384	0	0.0	MIR384	0	0.0
miRNA	MIR3907	SGI75460104	23363	MIR3907	0	0.0	MIR3907	0	0.0
miRNA	MIR3908	SGI75460104	23362	MIR3908	0	0.0	MIR3908	0	0.0
miRNA	MIR3909	SGI75460104	23361	MIR3909	0	0.0	MIR3909	0	0.0
miRNA	MIR3910-1	SGI75460104	23360	MIR3910-1	0	0.0	MIR3910-1	0	0.0
miRNA	MIR3910-2	SGI75460104	23359	MIR3910-2	0	0.0	MIR3910-2	0	0.0
miRNA	MIR3911	SGI75460104	23358	MIR3911	0	0.0	MIR3911	0	0.0
miRNA	MIR3912	SGI75460104	23357	MIR3912	0	0.0	MIR3912	0	0.0
miRNA	MIR3913-1	SGI75460104	23356	MIR3913-1	0	0.0	MIR3913-1	0	0.0
miRNA	MIR3913-2	SGI75460104	23355	MIR3913-2	0	0.0	MIR3913-2	0	0.0
miRNA	MIR3914-1	SGI75460104	23354	MIR3914-1	0	0.0	MIR3914-1	0	0.0
miRNA	MIR3914-2	SGI75460104	23353	MIR3914-2	0	0.0	MIR3914-2	0	0.0
miRNA	MIR3915	SGI75460104	23352	MIR3915	0	0.0	MIR3915	0	0.0
miRNA	MIR3916	SGI75460104	23351	MIR3916	9	0.3947585711406483	MIR3916	8	0.4506668771280983
miRNA	MIR3917	SGI75460104	23350	MIR3917	0	0.0	MIR3917	3	0.1690000789230368
miRNA	MIR3918	SGI75460104	23349	MIR3918	0	0.0	MIR3918	0	0.0
miRNA	MIR3919	SGI75460104	23348	MIR3919	0	0.0	MIR3919	0	0.0
miRNA	MIR3920	SGI75460104	23347	MIR3920	0	0.0	MIR3920	0	0.0
miRNA	MIR3921	SGI75460104	23346	MIR3921	0	0.0	MIR3921	0	0.0
miRNA	MIR3922	SGI75460104	23345	MIR3922	0	0.0	MIR3922	0	0.0
miRNA	MIR3923	SGI75460104	23344	MIR3923	0	0.0	MIR3923	0	0.0
miRNA	MIR3924	SGI75460104	23343	MIR3924	0	0.0	MIR3924	0	0.0
miRNA	MIR3925	SGI75460104	23342	MIR3925	0	0.0	MIR3925	0	0.0
miRNA	MIR3926-1	SGI75460104	23341	MIR3926-1	0	0.0	MIR3926-1	0	0.0
miRNA	MIR3926-2	SGI75460104	23340	MIR3926-2	0	0.0	MIR3926-2	0	0.0
miRNA	MIR3927	SGI75460104	23339	MIR3927	0	0.0	MIR3927	0	0.0
miRNA	MIR3928	SGI75460104	23338	MIR3928	0	0.0	MIR3928	0	0.0
miRNA	MIR3929	SGI75460104	23337	MIR3929	0	0.0	MIR3929	0	0.0
miRNA	MIR3934	SGI75460104	23336	MIR3934	0	0.0	MIR3934	0	0.0
miRNA	MIR3935	SGI75460104	23335	MIR3935	0	0.0	MIR3935	0	0.0
miRNA	MIR3936	SGI75460104	23334	MIR3936	0	0.0	MIR3936	0	0.0
miRNA	MIR3937	SGI75460104	23332	MIR3937	0	0.0	MIR3937	0	0.0
miRNA	MIR3938	SGI75460104	23331	MIR3938	0	0.0	MIR3938	0	0.0
miRNA	MIR3939	SGI75460104	23330	MIR3939	0	0.0	MIR3939	0	0.0
miRNA	MIR3940	SGI75460104	23329	MIR3940	3	0.1315861903802161	MIR3940	2	0.1126667192820245
