Gene type	Gene Name	fr	rf	star
protein_coding	USP17L24	0	1	0
protein_coding	USP17L25	1	0	0
protein_coding	USP17L26	1	0	0
protein_coding	USP17L27	1	2	0
protein_coding	USP17L28	2	2	0
protein_coding	USP17L29	1	1	0
protein_coding	USP17L3	1	1	0
protein_coding	USP17L30	1	1	0
protein_coding	USP17L4	1	1	0
protein_coding	USP17L5	2	1	0
protein_coding	USP17L7	1	1	0
protein_coding	USP17L8	0	0	0
protein_coding	USP18	3	3	16
protein_coding	USP19	12	12	12
protein_coding	USP2	0	0	0
protein_coding	USP20	21	21	18
protein_coding	USP21	4	4	11
protein_coding	USP22	179	179	185
protein_coding	USP24	155	155	163
protein_coding	USP25	125	125	125
protein_coding	USP26	1	1	3
protein_coding	USP27X	21	20	35
protein_coding	USP28	28	28	77
protein_coding	USP29	0	0	0
protein_coding	USP3	145	145	138
protein_coding	USP30	6	6	9
protein_coding	USP31	20	20	26
protein_coding	USP32	146	125	145
protein_coding	USP33	156	156	144
protein_coding	USP34	102	101	151
protein_coding	USP35	4	4	4
protein_coding	USP36	2	2	2
protein_coding	USP37	165	155	82
protein_coding	USP38	52	52	54
protein_coding	USP39	15	15	21
protein_coding	USP4	72	72	102
protein_coding	USP40	38	38	38
protein_coding	USP42	10	10	10
protein_coding	USP43	0	0	0
protein_coding	USP44	0	0	2
protein_coding	USP45	40	40	41
protein_coding	USP46	9	9	11
protein_coding	USP47	118	118	118
protein_coding	USP48	45	45	45
protein_coding	USP49	37	37	129
protein_coding	USP5	43	43	43
protein_coding	USP50	0	0	0
protein_coding	USP51	3	3	4
protein_coding	USP53	48	48	54
protein_coding	USP54	24	24	56
protein_coding	USP6	0	0	0
protein_coding	USP6NL	65	65	65
protein_coding	USP7	339	338	355
protein_coding	USP8	89	89	74
protein_coding	USP9X	275	275	288
protein_coding	USP9Y	4	4	3
protein_coding	USPL1	48	48	48
protein_coding	UST	9	9	9
protein_coding	UTF1	0	0	0
protein_coding	UTP11	14	14	14
protein_coding	UTP14A	52	52	54
protein_coding	UTP14C	16	16	16
protein_coding	UTP15	22	22	22
protein_coding	UTP18	16	16	16
protein_coding	UTP20	196	195	355
protein_coding	UTP23	36	36	39
protein_coding	UTP25	16	16	16
protein_coding	UTP3	54	54	54
protein_coding	UTP4	8	8	19
protein_coding	UTP6	0	0	2
protein_coding	UTRN	466	468	642
protein_coding	UTS2	0	0	0
protein_coding	UTS2B	0	0	0
protein_coding	UTS2R	0	0	0
protein_coding	UTY	24	24	24
protein_coding	UVRAG	42	42	47
protein_coding	UVSSA	5	5	7
protein_coding	UXS1	85	85	92
protein_coding	UXT	84	84	82
protein_coding	VAC14	1	1	2
protein_coding	VAMP1	1	1	0
protein_coding	VAMP2	56	56	47
protein_coding	VAMP3	297	297	305
protein_coding	VAMP4	16	16	16
protein_coding	VAMP5	28	28	33
protein_coding	VAMP7	42	42	0
protein_coding	VAMP7_1	0	0	0
protein_coding	VAMP8	118	118	121
protein_coding	VANGL1	173	174	785
protein_coding	VANGL2	0	0	0
protein_coding	VAPA	214	214	241
protein_coding	VAPB	109	109	115
protein_coding	VARS1	0	0	6
protein_coding	VARS2	0	0	0
protein_coding	VASH1	44	44	45
protein_coding	VASH2	9	9	18
protein_coding	VASN	1	1	0
protein_coding	VASP	190	190	216
protein_coding	VAT1	59	59	55
protein_coding	VAT1L	148	148	396
protein_coding	VAV1	27	27	27
protein_coding	VAV2	2	2	2
protein_coding	VAV3	30	30	34
protein_coding	VAX1	2	2	4
protein_coding	VAX2	0	0	0
protein_coding	VBP1	32	19	141
protein_coding	VCAM1	9	8	14
protein_coding	VCAN	232	232	277
protein_coding	VCL	245	244	544
protein_coding	VCP	93	91	85
protein_coding	VCPIP1	171	170	162
protein_coding	VCPKMT	37	37	38
protein_coding	VCX	0	0	0
protein_coding	VCX2	0	0	0
protein_coding	VCX3A	2	2	0
protein_coding	VCX3B	0	0	0
protein_coding	VCY	0	0	0
protein_coding	VCY1B	0	0	0
protein_coding	VDAC1	146	144	178
protein_coding	VDAC2	61	62	147
protein_coding	VDAC3	81	81	89
protein_coding	VDR	31	31	34
protein_coding	VEGFA	2	2	2
protein_coding	VEGFB	67	67	38
protein_coding	VEGFC	15	15	40
protein_coding	VEGFD	31	30	138
protein_coding	VENTX	0	0	0
protein_coding	VEPH1	11	11	11
protein_coding	VEZF1	78	71	79
protein_coding	VEZT	6	6	7
protein_coding	VGF	2	2	2
protein_coding	VGLL1	1	1	1
protein_coding	VGLL2	0	0	0
protein_coding	VGLL3	0	0	0
protein_coding	VGLL4	38	38	38
protein_coding	VHL	97	97	121
protein_coding	VHLL	0	0	0
protein_coding	VIL1	7	7	13
protein_coding	VILL	4	4	3
protein_coding	VIM	1318	1319	1329
protein_coding	VIP	0	0	0
protein_coding	VIPAS39	30	30	30
protein_coding	VIPR1	0	0	0
protein_coding	VIPR2	6	6	26
protein_coding	VIRMA	68	68	77
protein_coding	VIT	1	1	1
protein_coding	VKORC1	0	0	0
protein_coding	VKORC1L1	49	49	49
protein_coding	VLDLR	0	0	6
protein_coding	VMA21	93	93	93
protein_coding	VMAC	15	15	0
protein_coding	VMO1	0	0	0
protein_coding	VMP1	262	262	101
protein_coding	VN1R1	0	0	1
protein_coding	VN1R2	0	0	0
protein_coding	VN1R4	0	0	0
protein_coding	VN1R5	0	0	0
protein_coding	VNN1	26	26	27
protein_coding	VNN2	14	14	14
protein_coding	VOPP1	22	21	3
protein_coding	VPREB1	0	0	0
protein_coding	VPREB3	14	14	14
protein_coding	VPS11	22	22	0
protein_coding	VPS13A	22	22	85
protein_coding	VPS13B	461	456	619
protein_coding	VPS13C	246	246	243
protein_coding	VPS13D	190	189	263
protein_coding	VPS16	32	32	36
