Gene Name	fr	rf	star
ADARB2	147	147	367
ADARB2-AS1	2	2	9
ADAT1	34	34	48
ADAT2	8	8	12
ADAT3	0	0	0
ADCK1	1	1	1
ADCK2	0	0	0
ADCK5	0	0	0
ADCY1	2	2	2
ADCY10	0	0	0
ADCY10P1	5	6	12
ADCY2	1	1	2
ADCY3	27	27	26
ADCY4	4	3	0
ADCY5	1	1	1
ADCY6	2	2	1
ADCY6-DT	0	0	0
ADCY7	12	12	13
ADCY8	0	0	0
ADCY9	0	0	0
ADCYAP1	0	0	3
ADCYAP1R1	1	1	1
ADD1	249	249	261
ADD2	67	67	70
ADD3	228	228	242
ADD3-AS1	7	7	19
ADGB	112	113	322
ADGB-DT	0	0	0
ADGRA1	0	0	0
ADGRA1-AS1	0	0	0
ADGRA2	0	0	0
ADGRA3	0	0	0
ADGRA3P1	0	0	0
ADGRB1	0	0	0
ADGRB2	0	0	0
ADGRB3	374	372	534
ADGRB3-DT	0	0	0
ADGRD1	1	1	1
ADGRD1-AS1	0	0	0
ADGRD2	0	0	0
ADGRE1	51	51	53
ADGRE2	8	8	8
ADGRE3	25	25	26
ADGRE4P	24	23	25
ADGRE5	102	101	82
ADGRF1	2	2	2
ADGRF2	29	27	19
ADGRF3	2	2	0
ADGRF4	0	0	2
ADGRF5	19	19	22
ADGRF5-AS1	0	0	0
ADGRF5P1	3	3	3
ADGRF5P2	0	0	0
ADGRG1	32	32	128
ADGRG2	0	0	0
ADGRG3	8	8	12
ADGRG4	0	0	0
ADGRG5	11	11	11
ADGRG6	0	0	0
ADGRG7	2	2	3
ADGRL1	0	0	17
ADGRL1-AS1	7	7	0
ADGRL2	3	3	13
ADGRL3	2	2	6
ADGRL3-AS1	33	46	134
ADGRL4	13	13	17
ADGRV1	3	3	3
ADH1A	2	2	1
ADH1B	24	24	25
ADH1C	14	14	14
ADH4	10	10	14
ADH5	64	64	73
ADH5P2	0	0	0
ADH5P3	0	0	0
ADH5P4	2	2	0
ADH5P5	0	0	0
ADH6	11	11	159
ADH7	0	0	1
ADHFE1	1	1	1
ADI1	56	56	49
ADI1P1	0	0	0
ADI1P2	0	0	0
ADI1P3	0	0	0
ADIG	0	0	1
ADIPOQ	16	16	13
ADIPOQ-AS1	2	2	5
ADIPOR1	1017	1017	1076
ADIPOR1P1	0	0	0
ADIPOR1P2	0	0	0
ADIPOR2	0	0	16
ADIRF	3	3	4
ADIRF-AS1	1	1	1
ADK	56	56	61
ADM	16	16	16
ADM2	0	0	0
ADM5	0	0	0
ADNP	129	129	131
ADNP2	29	29	37
ADNP-AS1	3	3	7
ADO	38	38	38
ADORA1	0	0	0
ADORA2A	1	1	1
ADORA2A-AS1	3	3	27
ADORA2B	0	0	0
ADORA2BP1	0	0	0
ADORA3	0	0	0
ADPGK	0	0	0
ADPGK-AS1	0	0	1
ADPRH	22	22	22
ADPRHL1	3	3	3
ADPRM	26	26	25
