		Gene Name_RFfr	count_RFfr	cpm_RFfr	Gene Name_star	count_star	cpm_star
SGI75460068	44955	ABHD5	95	6.8204454554977065	ABHD5	50	4.425058753717603
SGI75460068	44954	ABHD6	0	0.0	ABHD6	0	0.0
SGI75460068	44953	ABHD8	29	2.0820307179940363	ABHD8	25	2.212529376858801
SGI75460068	44952	ABI1	592	42.50214431215412	ABI1	610	53.98571679535476
SGI75460068	44951	ABI1P1	0	0.0	ABI1P1	2	0.1770023501487041
SGI75460068	44950	ABI2	236	16.94342239471009	ABI2	184	16.28421621368078
SGI75460068	44949	ABI3	282	20.24595387842477	ABI3	250	22.12529376858801
SGI75460068	44948	ABI3BP	89	6.389680479361009	ABI3BP	0	0.0
SGI75460068	44947	ABITRAM	96	6.892239618187156	ABITRAM	112	9.912131608327428
SGI75460068	44946	ABITRAMP1	0	0.0	ABITRAMP1	0	0.0
SGI75460068	44945	ABL1	111	7.969152058528899	ABL1	131	11.59365393474012
SGI75460068	44944	ABL2	25	1.7948540672362383	ABL2	0	0.0
SGI75460068	44943	ABLIM1	302	21.68183713221376	ABLIM1	298	26.373350172156908
SGI75460068	44942	ABLIM2	40	2.871766507577982	ABLIM2	39	3.45154582789973
SGI75460068	44941	ABLIM3	876	62.8916865159578	ABLIM3	876	77.5270293651324
SGI75460068	44940	ABO	25	1.7948540672362383	ABO	1	0.088501175074352
SGI75460068	44939	ABR	20	1.435883253788991	ABR	153	13.540679786375865
SGI75460068	44938	ABRA	1	0.0717941626894495	ABRA	0	0.0
SGI75460068	44937	ABRACL	267	19.169041438083024	ABRACL	158	13.983185661747624
SGI75460068	44936	ABRAXAS1	149	10.697330240727982	ABRAXAS1	43	3.805550528197138
SGI75460068	44935	ABRAXAS2	203	14.574215025958257	ABRAXAS2	212	18.762249115762632
SGI75460068	44934	ABT1	40	2.871766507577982	ABT1	0	0.0
SGI75460068	44933	ABT1P1	0	0.0	ABT1P1	0	0.0
SGI75460068	44932	ABTB1	124	8.902476173491742	ABTB1	125	11.062646884294006
SGI75460068	44931	ABTB2	82	5.887121340534862	ABTB2	108	9.55812690803002
SGI75460068	44930	ACAA1	149	10.697330240727982	ACAA1	162	14.337190362045032
SGI75460068	44929	ACAA2	198	14.215244212511008	ACAA2	256	22.65630081903413
SGI75460068	44928	ACAA2P1	0	0.0	ACAA2P1	0	0.0
SGI75460068	44927	ACACA	26	1.866648229925688	ACACA	27	2.389531727007505
SGI75460068	44926	ACACB	28	2.010236555304587	ACACB	18	1.593021151338337
SGI75460068	44925	ACAD10	29	2.0820307179940363	ACAD10	21	1.8585246765613928
SGI75460068	44924	ACAD11	301	21.61004296952431	ACAD11	394	34.86946297929471
SGI75460068	44923	ACAD8	6	0.4307649761366972	ACAD8	0	0.0
SGI75460068	44922	ACAD9	70	5.025591388261468	ACAD9	69	6.106581080130291
SGI75460068	44921	ACADL	4	0.2871766507577982	ACADL	0	0.0
SGI75460068	44920	ACADM	65	4.66662057481422	ACADM	37	3.274543477751026
SGI75460068	44919	ACADS	68	4.882003062882569	ACADS	74	6.549086955502052
SGI75460068	44918	ACADSB	90	6.461474642050459	ACADSB	110	9.735129258178723
SGI75460068	44917	ACADVL	23	1.651265741857339	ACADVL	0	0.0
SGI75460068	44916	ACAN	0	0.0	ACAN	0	0.0
SGI75460068	44915	ACAP1	0	0.0	ACAP1	0	0.0
SGI75460068	44914	ACAP2	922	66.19421799967247	ACAP2	905	80.0935634422886
SGI75460068	44913	ACAP3	0	0.0	ACAP3	0	0.0
SGI75460068	44912	ACAT1	130	9.33324114962844	ACAT1	240	21.240282017844493
SGI75460068	44911	ACAT2	59	4.235855598677523	ACAT2	4	0.3540047002974082
SGI75460068	44910	ACBD3	254	18.23571732312018	ACBD3	279	24.69182784574422
SGI75460068	44909	ACBD3-AS1	0	0.0	ACBD3-AS1	0	0.0
SGI75460068	44908	ACBD4	44	3.1589431583357794	ACBD4	45	3.982552878345842
SGI75460068	44907	ACBD5	91	6.533268804739908	ACBD5	104	9.204122207732611
SGI75460068	44906	ACBD6	133	9.548623637696789	ACBD6	110	9.735129258178723
SGI75460068	44905	ACBD7	3	0.2153824880683486	ACBD7	4	0.3540047002974082
SGI75460068	44904	ACBD7-DCLRE1CP1	0	0.0	ACBD7-DCLRE1CP1	0	0.0
SGI75460068	44903	ACCS	0	0.0	ACCS	0	0.0
SGI75460068	44902	ACCSL	0	0.0	ACCSL	0	0.0
SGI75460068	44901	ACD	39	2.799972344888532	ACD	11	0.9735129258178726
SGI75460068	44900	ACE	33	2.3692073687518347	ACE	0	0.0
SGI75460068	44899	ACE2	27	1.9384423926151375	ACE2	89	7.876604581617332
SGI75460068	44898	ACE3P	9	0.6461474642050459	ACE3P	1	0.088501175074352
SGI75460068	44897	ACER1	0	0.0	ACER1	0	0.0
SGI75460068	44896	ACER2	3	0.2153824880683486	ACER2	18	1.593021151338337
SGI75460068	44895	ACER2P1	8	0.5743533015155964	ACER2P1	0	0.0
SGI75460068	44894	ACER3	88	6.317886316671559	ACER3	88	7.788103406542981
SGI75460068	44893	ACHE	31	2.2256190433729355	ACHE	35	3.097541127602322
SGI75460068	44892	ACIN1	229	16.440863255883944	ACIN1	232	20.53227261724968
SGI75460068	44891	ACKR1	188	13.497302585616511	ACKR1	200	17.70023501487041
SGI75460068	44890	ACKR2	134	9.62041780038624	ACKR2	158	13.983185661747624
SGI75460068	44889	ACKR3	0	0.0	ACKR3	0	0.0
SGI75460068	44888	ACKR4	8	0.5743533015155964	ACKR4	5	0.4425058753717602
SGI75460068	44887	ACKR4P1	0	0.0	ACKR4P1	0	0.0
SGI75460068	44886	ACLY	376	26.994605171233022	ACLY	363	32.1259265519898
SGI75460068	44885	ACMSD	0	0.0	ACMSD	0	0.0
