Gene Name,TPM,count,cpm
ACOT4,0.0,0.0,0.0
ACOT6,0.001676,2.0,0.23680981188302164
ACOT7,0.087646,11.0,1.3024539653566192
ACOT8,0.715375,56.0,6.630674732724605
ACOT9,0.038937,13.0,1.5392637772396407
ACOX1,0.159332,80.0,9.472392475320865
ACOX2,0.0,0.0,0.0
ACOX3,0.0,0.0,0.0
ACOXL,0.048602,9.0,1.0656441534735972
ACOXL-AS1,0.0,0.0,0.0
ACP1,1.964703,189.0,22.378527222945547
ACP2,0.298844,43.0,5.091410955484966
ACP3,0.110193,24.0,2.8417177425962596
ACP4,0.0,0.0,0.0
ACP5,0.016483,2.0,0.23680981188302164
ACP6,0.0,0.0,0.0
ACP7,0.0,0.0,0.0
ACR,0.0,0.0,0.0
ACRBP,0.132656,83.0,9.827607193145397
ACRP1,0.0,0.0,0.0
ACRV1,0.0,0.0,0.0
ACSBG1,0.0,0.0,0.0
ACSBG2,0.0,0.0,0.0
ACSF2,0.0,0.0,0.0
ACSF3,0.0,0.0,0.0
ACSL1,0.483631,131.0,15.511042678337915
ACSL3,0.003422,20.0,2.368098118830216
ACSL4,0.209045,73.0,8.64355813373029
ACSL5,0.005223,19.0,2.2496932128887055
ACSL6,0.009515,40.0,4.736196237660432
ACSM1,0.0,0.0,0.0
ACSM2A,0.033096,8.0,0.9472392475320865
ACSM2B,0.026412,6.0,0.7104294356490649
ACSM3,0.0,0.0,0.0
ACSM4,0.0,0.0,0.0
ACSM5,0.002824,6.0,0.7104294356490649
ACSM5P1,0.0,0.0,0.0
ACSM6,0.0,0.0,0.0
ACSS1,0.043582,11.0,1.3024539653566192
ACSS2,0.050853,10.0,1.184049059415108
ACSS3,0.0,0.0,0.0
ACTA1,0.0,0.0,0.0
ACTA2,0.002811,11.0,1.3024539653566192
ACTA2-AS1,0.0,0.0,0.0
ACTB,51.545591,6243.0,739.2018277928521
ACTBL2,0.0,0.0,0.0
ACTBP1,0.0,0.0,0.0
ACTBP10,0.000158,1.0,0.11840490594151082
ACTBP11,0.0,0.0,0.0
ACTBP12,0.0,0.0,0.0
ACTBP14,0.0,0.0,0.0
ACTBP15,0.0,0.0,0.0
